0,0,1,Hans Pakes,2
1,1,2,Bagwant Dhaliwal,3
2,2,3,Clark Webster,2
3,3,4,Mukhtar Galab,4
4,4,5,Hani al Hallak,3
5,5,6,Jamal Kalifa,2
6,6,7,Ralph Goode,1
7,7,8,Abul Hassan Salman,1
8,8,9,Clark Adams,1
9,9,10,Vincent Cortez,1
10,10,11,Arnaldo Gueterrez,1
11,11,12,Ben Hassine,1
12,12,13,Ahmed Yassin,1
13,13,14,Wallace Wilson,1
14,14,15,Karm Bensaid,1
15,15,16,Carl Louis,1
16,16,17,Abdelhak Kherbane,1
17,17,18,Mark Davis,2
18,18,19,Hamid Alwan,1
19,19,20,Alwan,1
20,20,21,Abdulla Ramzi,1
21,21,22,Abdul Ramazi,5
22,22,23,Faysal Goba,3
23,23,24,Yasein Mosed,2
24,24,25,Masood Yaser,2
25,25,26,Omar Clark,1
26,26,27,Joseph Nizar,1
27,27,28,Shiela Watson,2
28,28,29,Steven Clark,1
29,29,30,Tawfiq al Adel,3
30,30,31,Saeed Khallad,2
31,31,32,Riduan bin Attash,1
32,32,33,Saleh al Ahdal,1
33,33,34,Jelte Nijboer,1
34,34,35,al Ahdal,1
35,35,36,bin Attash,1
36,36,37,Saeed Khaliad,1
37,37,38,Jamil Musawi,1
38,38,39,Ziad al Shibh,1
39,39,40,Muhammad Shamzi,1
40,40,41,Vincent Lozario,1
41,41,42,Khalfan Maulid,1
42,42,43,Abu al Masri,2
43,43,44,Abdul al Hada,1
44,44,45,Sahim Albakri,1
45,45,46,Muhammed bin Harazi,1
46,46,47,Omar Bakri Qatada,1
47,47,48,Qatada,1
48,48,49,Richard Reid,1
49,256,1,Arabic,3
50,257,2,Middle Eastern,2
51,258,3,Dutch,4
52,259,4,C-4,3
53,260,5,Mexicans,1
54,261,6,Spanish,1
55,262,7,Social Security,1
56,263,8,Lebanese,1
57,264,9,Saudi,2
58,265,10,Canadian,1
59,266,11,Holland Queen,2
60,267,12,1070173749003,3
61,268,13,cesium 137,1
62,269,14,Stinger,1
63,270,15,Latin American,1
64,271,16,CIA,1
65,272,17,French,1
66,273,18,Egyptian,1
67,274,19,British,1
68,275,20,Pakistani,1
69,276,21,Indian,1
70,277,22,Yemeni,1
71,278,23,Moslem,1
72,279,24,Pentaerythritol,1
73,280,25,Triacetone Triperoxide,1
