0,0,1,Hans Pakes,2
1,1,2,Bagwant Dhaliwal,3
2,2,3,Clark Webster,2
3,3,4,Mukhtar Galab,4
4,4,5,Hani al Hallak,3
5,5,6,Jamal Kalifa,2
6,6,7,Ralph Goode,1
7,7,8,Abul Hassan Salman,1
8,8,9,Clark Adams,1
9,9,10,Vincent Cortez,1
10,10,11,Arnaldo Gueterrez,1
11,11,12,Ben Hassine,1
12,12,13,Ahmed Yassin,1
13,13,14,Wallace Wilson,1
14,14,15,Karm Bensaid,1
15,15,16,Carl Louis,1
16,16,17,Abdelhak Kherbane,1
17,17,18,Mark Davis,2
18,18,19,Hamid Alwan,1
19,19,20,Alwan,1
20,20,21,Abdulla Ramzi,1
21,21,22,Abdul Ramazi,5
22,22,23,Faysal Goba,3
23,23,24,Yasein Mosed,2
24,24,25,Masood Yaser,2
25,25,26,Omar Clark,1
26,26,27,Joseph Nizar,1
27,27,28,Shiela Watson,2
28,28,29,Steven Clark,1
29,29,30,Tawfiq al Adel,3
30,30,31,Saeed Khallad,2
31,31,32,Riduan bin Attash,1
32,32,33,Saleh al Ahdal,1
33,33,34,Jelte Nijboer,1
34,34,35,al Ahdal,1
35,35,36,bin Attash,1
36,36,37,Saeed Khaliad,1
37,37,38,Jamil Musawi,1
38,38,39,Ziad al Shibh,1
39,39,40,Muhammad Shamzi,1
40,40,41,Vincent Lozario,1
41,41,42,Khalfan Maulid,1
42,42,43,Abu al Masri,2
43,43,44,Abdul al Hada,1
44,44,45,Sahim Albakri,1
45,45,46,Muhammed bin Harazi,1
46,46,47,Omar Bakri Qatada,1
47,47,48,Qatada,1
48,48,49,Richard Reid,1
49,49,1,The Netherlands,3
50,50,2,Richmond,4
51,51,3,Virginia,12
52,52,4,Amsterdam,4
53,53,5,Queens,4
54,54,6,New York City,6
55,55,7,Charlottesville,5
56,56,8,Myrtle Ave,3
57,57,9,North Bergen,3
58,58,10,Georgia,2
59,59,11,Texas,3
60,60,12,Houston,3
61,61,13,Columbus,1
62,62,14,Little York Rd.,1
63,63,15,St. Mary's Road,1
64,64,16,Washington,2
65,65,17,Seattle,1
66,66,18,Howell St.,1
67,67,19,Alder St,1
68,68,20,Paris,3
69,69,21,France,1
70,70,22,Keswick,3
71,71,23,Lee Highway,1
72,72,24,Merrifield,1
73,73,25,El Paso,1
74,74,26,Hudspeth County,1
75,75,27,Rio Grande,1
76,76,28,McNary,1
77,77,29,McRae Blvd,1
78,78,30,Denver,3
79,79,31,Colorado,3
80,80,32,Camp George West Military Reservation,2
81,81,33,US,7
82,82,34,Los Angeles,2
83,83,35,Culver City,1
84,84,36,California,1
85,85,37,San Gabriel,1
86,86,38,Greenlawn Ave.,1
87,87,39,Imperial Highway,1
88,88,40,City Park,1
89,89,41,El Segundo,1
90,90,42,LAX,1
91,91,43,Sheldon St.,1
92,92,44,Hubbard St.,1
93,93,45,New Jersey,3
94,94,46,Canada,2
95,95,47,Detroit,1
96,96,48,Michigan,1
97,97,49,Van Dyke Avenue,1
98,98,50,Afghanistan,5
99,99,51,Sudan,2
100,100,52,Boston,1
101,101,53,University Drive,1
102,102,54,Germany,3
103,103,55,Hamburg,3
104,104,56,Springfield,3
105,105,57,Egypt,2
106,106,58,Dulles Airport,1
107,107,59,Washington DC,1
108,108,60,Cairo,1
109,109,61,Wash. DC,1
110,110,62,Floyd Ave.,1
111,111,63,Atlanta,1
112,112,64,New Orleans,1
113,113,65,Coal Mine Road,2
114,114,66,Colfax Avenue,1
115,115,67,Capitol Ave.,2
116,116,68,Springfield VA,1
117,117,69,O'Hare,1
118,118,70,Chicago,1
119,119,71,Illinois,1
120,120,72,Green Bay,1
121,121,73,Wisconsin,1
122,122,74,Manhattan,2
123,123,75,2932 University Drive,1
124,124,76,Webster Ave.,1
125,125,77,Bronx,1
126,126,78,New York,1
127,127,79,United Arab Emirates,2
128,128,80,Springfield Mall,1
129,129,81,Haarlem,2
130,130,82,Lublin,1
131,131,83,Poland,1
132,132,84,Europe,1
133,133,85,Bremerhaven,1
134,134,86,Trenton Avenue,1
135,135,87,Trenton,1
136,136,88,Rhinelander Platz.,1
137,137,89,Buenos Aires,1
138,138,90,Hezboliah,1
139,139,91,Guantanamo,2
140,140,92,Marshall Avenue,1
141,141,93,Minneapolis,1
142,142,94,Minnesota,1
143,143,95,Laurel Avenue,1
144,144,96,Bowling Green,1
145,145,97,Kentucky,1
146,146,98,Rue St. Sebastien,1
147,147,99,Cuba,1
148,148,100,Kandahar,1
149,149,101,St. Mary 's Terrace,1
150,150,102,Paddington,1
151,151,103,London,1
152,152,104,Miami,1
